
Testing with  PPO for 250000 steps
Using cpu device
Wrapping the env in a DummyVecEnv.
----------------------------------
| rollout/           |           |
|    learning_rate        | 0.0003      |
|    loss                 | 105         |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0445     |
|    value_loss           | 475         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -115        |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 9           |
|    time_elapsed         | 1006        |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.016508972 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | -0.201      |
|    learning_rate        | 0.0003      |
|    loss                 | 167         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.046      |
|    value_loss           | 461         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -62.4       |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 10          |
|    time_elapsed         | 1113        |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.014394941 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.21       |
|    explained_variance   | -0.19       |
|    learning_rate        | 0.0003      |
|    loss                 | 376         |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0373     |
|    value_loss           | 739         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 44.5        |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 11          |
|    time_elapsed         | 1219        |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.016483575 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | -0.166      |
|    learning_rate        | 0.0003      |
|    loss                 | 303         |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.041      |
|    value_loss           | 830         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 130         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 12          |
|    time_elapsed         | 1325        |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.015388533 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | -0.12       |
|    learning_rate        | 0.0003      |
|    loss                 | 384         |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0417     |
|    value_loss           | 1.32e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 251        |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 13         |
|    time_elapsed         | 1431       |
|    total_timesteps      | 26624      |
| train/                  |            |
|    approx_kl            | 0.01645476 |
|    clip_fraction        | 0.154      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.01      |
|    explained_variance   | -0.102     |
|    learning_rate        | 0.0003     |
|    loss                 | 283        |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0451    |
|    value_loss           | 1.14e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 368         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 14          |
|    time_elapsed         | 1539        |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.015254997 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | -0.131      |
|    learning_rate        | 0.0003      |
|    loss                 | 658         |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0465     |
|    value_loss           | 1.59e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 448         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 15          |
|    time_elapsed         | 1644        |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.015280589 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | -0.0166     |
|    learning_rate        | 0.0003      |
|    loss                 | 631         |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0488     |
|    value_loss           | 2.02e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 535         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 16          |
|    time_elapsed         | 1752        |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.015693212 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | -0.0207     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.07e+03    |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0517     |
|    value_loss           | 1.91e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 649         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 17          |
|    time_elapsed         | 1859        |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.014684502 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.75       |
|    explained_variance   | -0.0217     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.27e+03    |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0499     |
|    value_loss           | 2.24e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 724         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 18          |
|    time_elapsed         | 1964        |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.019897627 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.72       |
|    explained_variance   | -0.0605     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03e+03    |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0611     |
|    value_loss           | 2e+03       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 801         |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 19          |
|    time_elapsed         | 2070        |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.034324065 |
|    clip_fraction        | 0.304       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.67       |
|    explained_variance   | -0.0373     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.42e+03    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0539     |
|    value_loss           | 2.56e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 839        |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 20         |
|    time_elapsed         | 2174       |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.02217081 |
|    clip_fraction        | 0.293      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.59      |
|    explained_variance   | -0.00467   |
|    learning_rate        | 0.0003     |
|    loss                 | 722        |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0591    |
|    value_loss           | 2.04e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.02e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 21          |
|    time_elapsed         | 2279        |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.015344357 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | -0.043      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.14e+03    |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.052      |
|    value_loss           | 2.48e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 1.08e+03   |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 22         |
|    time_elapsed         | 2386       |
|    total_timesteps      | 45056      |
| train/                  |            |
|    approx_kl            | 0.01622203 |
|    clip_fraction        | 0.177      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.46      |
|    explained_variance   | -0.00271   |
|    learning_rate        | 0.0003     |
|    loss                 | 2.37e+03   |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.0507    |
|    value_loss           | 4.27e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.16e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 23          |
|    time_elapsed         | 2508        |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.022465546 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.00117     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.55e+03    |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0552     |
|    value_loss           | 3.27e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.23e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 24          |
|    time_elapsed         | 2615        |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.018048126 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.00272     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.18e+03    |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0585     |
|    value_loss           | 2.88e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.31e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 25          |
|    time_elapsed         | 2725        |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.020794809 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | -0.0124     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.7e+03     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.054      |
|    value_loss           | 3.14e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.39e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 26          |
|    time_elapsed         | 2833        |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.026905822 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | -0.00388    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.61e+03    |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0551     |
|    value_loss           | 3.46e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.45e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 27          |
|    time_elapsed         | 2937        |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.020722881 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.26       |
|    explained_variance   | 0.00216     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.13e+03    |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0546     |
|    value_loss           | 4.1e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.51e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 28          |
|    time_elapsed         | 3084        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.026182752 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.25       |
|    explained_variance   | -0.00925    |
|    learning_rate        | 0.0003      |
|    loss                 | 922         |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0545     |
|    value_loss           | 3.19e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.57e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 29          |
|    time_elapsed         | 3189        |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.028746057 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.18       |
|    explained_variance   | -0.00333    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.69e+03    |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0543     |
|    value_loss           | 3.15e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.62e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 30          |
|    time_elapsed         | 3295        |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.030707572 |
|    clip_fraction        | 0.278       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.2        |
|    explained_variance   | -0.00135    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.57e+03    |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0576     |
|    value_loss           | 3.32e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.71e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 31          |
|    time_elapsed         | 3405        |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.028668664 |
|    clip_fraction        | 0.259       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.00273     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.19e+03    |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0539     |
|    value_loss           | 3.21e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.77e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 32          |
|    time_elapsed         | 3509        |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.018946253 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | -0.00384    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.1e+03     |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0481     |
|    value_loss           | 4.94e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.84e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 33          |
|    time_elapsed         | 3610        |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.026883041 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.0003      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.71e+03    |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0516     |
|    value_loss           | 3.55e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 1.9e+03     |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 34          |
|    time_elapsed         | 3711        |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.025339836 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.951      |
|    explained_variance   | -0.00125    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.23e+03    |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.049      |
|    value_loss           | 4.94e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 1.97e+03   |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 35         |
|    time_elapsed         | 3811       |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.04190289 |
|    clip_fraction        | 0.269      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.953     |
|    explained_variance   | -0.00087   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.7e+03    |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.0461    |
|    value_loss           | 3.46e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 2e+03      |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 36         |
|    time_elapsed         | 3911       |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.08252852 |
|    clip_fraction        | 0.313      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.04      |
|    explained_variance   | 8.46e-06   |
|    learning_rate        | 0.0003     |
|    loss                 | 2.81e+03   |
|    n_updates            | 350        |
|    policy_gradient_loss | -0.00728   |
|    value_loss           | 4.94e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.03e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 37          |
|    time_elapsed         | 4014        |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.047510304 |
|    clip_fraction        | 0.338       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.1        |
|    explained_variance   | 0.000171    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.49e+03    |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0361     |
|    value_loss           | 3.33e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.07e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 38          |
|    time_elapsed         | 4119        |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.022930587 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | -0.028      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.86e+03    |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0445     |
|    value_loss           | 3.89e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 2.13e+03   |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 39         |
|    time_elapsed         | 4219       |
|    total_timesteps      | 79872      |
| train/                  |            |
|    approx_kl            | 0.01915674 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.02      |
|    explained_variance   | 0.00657    |
|    learning_rate        | 0.0003     |
|    loss                 | 1.58e+03   |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0436    |
|    value_loss           | 4.61e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.17e+03    |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 40          |
|    time_elapsed         | 4320        |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.019539569 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | -0.00156    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.46e+03    |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0447     |
|    value_loss           | 4.9e+03     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 2.19e+03   |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 41         |
|    time_elapsed         | 4421       |
|    total_timesteps      | 83968      |
| train/                  |            |
|    approx_kl            | 0.03160332 |
|    clip_fraction        | 0.262      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.02      |
|    explained_variance   | -0.0105    |
|    learning_rate        | 0.0003     |
|    loss                 | 1.39e+03   |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.0459    |
|    value_loss           | 3.3e+03    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.27e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 42          |
|    time_elapsed         | 4521        |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.020552078 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.987      |
|    explained_variance   | -0.00717    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.33e+03    |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0464     |
|    value_loss           | 3.09e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.29e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 43          |
|    time_elapsed         | 4625        |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.025945019 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.922      |
|    explained_variance   | -0.00176    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.05e+03    |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0459     |
|    value_loss           | 4.83e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.33e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 44          |
|    time_elapsed         | 4725        |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.020153867 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.908      |
|    explained_variance   | 0.00404     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.42e+03    |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0449     |
|    value_loss           | 3.54e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.38e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 45          |
|    time_elapsed         | 4825        |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.024128884 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.869      |
|    explained_variance   | 0.00681     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.3e+03     |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0463     |
|    value_loss           | 3.53e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.44e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 46          |
|    time_elapsed         | 4927        |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.020491386 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.844      |
|    explained_variance   | 0.00807     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.84e+03    |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0409     |
|    value_loss           | 4.57e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 2.49e+03   |
| time/                   |            |
|    fps                  | 19         |
|    iterations           | 47         |
|    time_elapsed         | 5027       |
|    total_timesteps      | 96256      |
| train/                  |            |
|    approx_kl            | 0.02163738 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.839     |
|    explained_variance   | 0.000162   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.92e+03   |
|    n_updates            | 460        |
|    policy_gradient_loss | -0.0448    |
|    value_loss           | 4.85e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.51e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 48          |
|    time_elapsed         | 5128        |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.022309428 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.805      |
|    explained_variance   | 0.00115     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.44e+03    |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.0446     |
|    value_loss           | 4.81e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.56e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 49          |
|    time_elapsed         | 5231        |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.041203085 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.764      |
|    explained_variance   | 0.00158     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.11e+03    |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0454     |
|    value_loss           | 3.64e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.67e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 50          |
|    time_elapsed         | 5341        |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.028490376 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.766      |
|    explained_variance   | -0.000848   |
|    learning_rate        | 0.0003      |
|    loss                 | 2.19e+03    |
|    n_updates            | 490         |
|    policy_gradient_loss | -0.0451     |
|    value_loss           | 3.95e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 2.77e+03   |
| time/                   |            |
|    fps                  | 19         |
|    iterations           | 51         |
|    time_elapsed         | 5437       |
|    total_timesteps      | 104448     |
| train/                  |            |
|    approx_kl            | 0.01981878 |
|    clip_fraction        | 0.166      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.74      |
|    explained_variance   | 0.00134    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.07e+03   |
|    n_updates            | 500        |
|    policy_gradient_loss | -0.0399    |
|    value_loss           | 4.98e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 2.87e+03   |
| time/                   |            |
|    fps                  | 19         |
|    iterations           | 52         |
|    time_elapsed         | 5523       |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.04255372 |
|    clip_fraction        | 0.235      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.698     |
|    explained_variance   | 0.00169    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.72e+03   |
|    n_updates            | 510        |
|    policy_gradient_loss | -0.039     |
|    value_loss           | 4.64e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 2.97e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 53          |
|    time_elapsed         | 5609        |
|    total_timesteps      | 108544      |
| train/                  |             |
|    approx_kl            | 0.033201292 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.718      |
|    explained_variance   | -0.00462    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.95e+03    |
|    n_updates            | 520         |
